a;0.12091471795904431
b;0.015100425616005064
c;0.03716979739777649
d;0.05455776833632044
e;0.13882173280620153
f;0.004740809483369958
g;0.010772349843098654
h;0.012457679160824816
i;0.048540611121047295
j;0.006585604098320674
k;0.0
l;0.05574719184738358
m;0.027927689053926785
n;0.06781590075380184
o;0.09590680722959376
p;0.02217818339634818
q;0.020314002804087815
r;0.06313449991057436
s;0.07862577184330627
t;0.03861811750903949
u;0.04890081508654275
v;0.011167573638572842
w;1.250708213525909e-06
x;0.00023575849824963385
y;0.015705768391351602
z;0.0040591735069983375
