a;0.07742546585666758
b;0.013921615632436605
c;0.02413820658095021
d;0.04782619711666832
e;0.1278067852040687
f;0.02153825764441508
g;0.021208878806128394
h;0.06471222229368509
i;0.07165841270583741
j;0.0012395558647948592
k;0.0078563674386605
l;0.041195742632341104
m;0.026428266551286623
n;0.07164866776979342
o;0.07407320785753684
p;0.01597389916329979
q;0.0009413608218489262
r;0.05922582330092167
s;0.060818145850508785
t;0.08665392029032114
u;0.029813657332966925
v;0.009121260137169719
w;0.021099735522435766
x;0.0016527411530598125
y;0.02163180903043733
z;0.00038979744175938975
