a;0.050501071488767424
b;0.020512869904408756
c;0.028938383376273146
d;0.05439406708242036
e;0.17669981459632564
f;0.014574173508945125
g;0.03598372300209482
h;0.044907177770821795
i;0.08650020466639378
j;0.001958055428475115
k;0.012214490380679493
l;0.03700464713105873
m;0.02196527894825552
n;0.11809202764200236
o;0.022288892634417665
p;0.00593965953143435
q;0.0001955166020562953
r;0.06886036936264477
s;0.06568876261106162
t;0.05411764705882353
u;0.03905420047675231
v;0.009574534684934145
w;0.016378127182104935
x;0.00036888107678601526
y;0.0011730996123377718
z;0.012114324239724543
